Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24569844,Japanese Modern Art Painting From 1910,Schaarschmidt Richte,"Richte, Schaarschmidt",,3908161851,,0,5.00,Edition Stemmle,Hardcover,207,,,,2018/10/24,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
29092984,The Metropolitan Museum of Art: Masterpiece Paintings,Kathryn Calley Galitz,"Galitz, Kathryn Calley",Thomas P. Campbell,0847846598,9780847846597,0,4.43,Skira Rizzoli,Hardcover,544,2016,,,2018/10/24,to-read,to-read (#132),to-read,,,,0,,,0,,,,,
3804994,"Magritte, The True Art Of Painting",René Magritte,"Magritte, René",Harry Torczyner,,,0,4.23,Abradale/Abrams,Hardcover,144,1979,1978,,2018/10/24,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
162762,"Modern Art: painting, sculpture, architecture, photography",Sam Hunter,"Hunter, Sam","Daniel Wheeler, John Jacobus, John M. Jacobus",0131895656,9780131895652,0,3.74,Pearson,Paperback,480,2004,1976,,2018/10/24,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
24749864,Complete Works of Pierre-Auguste Renoir,Pierre-Auguste Renoir,"Renoir, Pierre-Auguste",,,,0,4.33,Delphi Classics,Kindle Edition,1751,2015,2015,,2018/10/24,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
23875115,Complete Works of Michelangelo,Michelangelo Buonarroti,"Buonarroti, Michelangelo",,,,0,4.54,Delphi Classics,Kindle Edition,2007,2014,2014,,2018/10/24,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
23385792,Complete Works of Rembrandt van Rijn,Rembrandt van Rijn,"Rijn, Rembrandt van",,,,0,4.31,Delphi Classics,Kindle Edition,1445,2014,2014,,2018/10/24,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
23534962,Complete Paintings of Dante Gabriel Rossetti,Dante Gabriel Rossetti,"Rossetti, Dante Gabriel",,,,0,4.17,Delphi Classics,Kindle Edition,864,2014,2014,,2018/10/24,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
23812731,Complete Works of Gustav Klimt,Gustav Klimt,"Klimt, Gustav",,,,0,4.50,Delphi Classics,Kindle Edition,358,2014,2014,,2018/10/24,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
22692642,Delphi Complete Works of Caravaggio,Michelangelo Merisi Da Caravaggio,"Caravaggio, Michelangelo Merisi Da",,,,0,4.27,Delphi Classics,Kindle Edition,265,2014,2014,,2018/10/24,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
28550453,Collected Works of J. M. W. Turner,J.M.W. Turner,"Turner, J.M.W.",Delphi Classics,,,0,0.0,Delphi Classics,Kindle Edition,884,2011,,,2018/10/24,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
28549374,Collected Works of Claude Monet,Claude Monet,"Monet, Claude",Delphi Classics,,,0,5.00,Delphi Classics,Kindle Edition,733,2011,,,2018/10/24,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
28525882,Complete Works of Vincent van Gogh,Vincent van Gogh,"Gogh, Vincent van",Delphi Classics,,,0,4.75,Delphi Classics,Kindle Edition,,2011,,,2018/10/24,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
18866708,Complete Works of Johannes Vermeer,Johannes Vermeer,"Vermeer, Johannes",,,,0,4.56,Delphi Classics,Kindle Edition,215,2012,2012,,2018/10/24,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
28516449,Complete Works of Leonardo da Vinci,Leonardo da Vinci,"Vinci, Leonardo da",Delphi Classics,,,0,5.00,Delphi Classics,Kindle Edition,,2011,,,2018/10/24,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
28838791,Complete Paintings of Eugene Delacroix,Eugène Delacroix,"Delacroix, Eugène",Peter Russell,,,0,4.67,Delphi Classics,Kindle Edition,515,2016,,,2018/10/24,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
37642446,Cézanne Portraits,John Elderfield,"Elderfield, John","Mary Morton, Xavier Ray, Alex Danchev, Jayne S. Warman",,9781855147317,0,4.44,National Portrait Gallery Publications,Paperback,245,2017,,,2018/10/24,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
1366178,Courbet and the Modern Landscape,Mary Morton,"Morton, Mary","Charlotte Eyerman, Dominique de Font-Réaulx",0892368365,9780892368365,0,4.17,J. Paul Getty Museum,Hardcover,152,2006,2006,,2018/10/24,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
23167589,Gustave Caillebotte: The Painter's Eye,Mary Morton,"Morton, Mary",George Shackelford,022626355X,9780226263557,0,4.75,University of Chicago Press,Hardcover,272,2015,2015,,2018/10/24,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
1770315,Gustave Caillebotte: Urban Impressionist,Anne Distel,"Distel, Anne",Kirk Varnedoe,0789200414,9780789200419,0,4.24,Abbeville Press,Hardcover,352,1995,1995,,2018/10/24,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
482700,Gustave Caillebotte,Kirk Varnedoe,"Varnedoe, Kirk",,0300082797,9780300082791,0,4.40,Yale University Press,Paperback,220,2000,1987,,2018/10/24,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
24974557,Monet Drawings and Caricatures,Narim Bender,"Bender, Narim",,,,0,0.0,Narim Bender,Kindle Edition,54,2015,2015,,2018/10/24,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
25440220,J. M. W. Turner: 70 Drawings and Prints,Narim Bender,"Bender, Narim",,,,0,0.0,Osmora Inc.,Kindle Edition,62,2015,2015,,2018/10/24,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
33918412,George Romney: Detailed Drawings,Narim Bender,"Bender, Narim",,,,0,2.00,Osmora Inc.,Kindle Edition,80,2015,,,2018/10/24,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
24193030,Francisco Goya: 103 Drawings and Etchings,Narim Bender,"Bender, Narim",,,,0,3.00,Osmora Inc.,Kindle Edition,107,2014,2014,,2018/10/24,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
20409094,"Rembrandt: Paintings, Etchings, Drawings",Narim Bender,"Bender, Narim",,,,0,2.00,BookRix GmbH & Co. KG,Kindle Edition,247,2013,2013,,2018/10/24,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
26026667,Edward Burne-Jones: 109 Drawings,Narim Bender,"Bender, Narim",,,,0,4.00,Osmora Inc.,Kindle Edition,106,2014,2014,,2018/10/24,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
24978226,Anders Zorn: 103 Watercolors and Etchings,Narim Bender,"Bender, Narim",,,,0,3.00,Osmora Inc.,Kindle Edition,107,2014,2014,,2018/10/24,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
24967211,Vincent Van Gogh: 120 Drawings and Watercolors,Narim Bender,"Bender, Narim",,,,0,3.00,Osmora Inc.,Kindle Edition,134,2014,2014,,2018/10/24,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
30134366,Anthony van Dyck: Drawings and Engravings,Narim Bender,"Bender, Narim",,,,0,4.00,Osmora Inc.,Kindle Edition,60,2015,,,2018/10/24,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
23982125,Renoir (113 Drawings and Pastels),Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,136,2014,2014,,2018/10/24,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
23978003,Gustav Klimt (Drawings and Pastels),Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,,2014,2014,,2018/10/24,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
25606251,Felicien Rops: 80 Drawings,Narim Bender,"Bender, Narim",,,,0,3.50,Osmora Inc.,Kindle Edition,80,2015,2015,,2018/10/24,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
25269351,Hans Holbein: 80 Drawings,Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,80,2015,2015,,2018/10/24,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
23941710,Berthe Morisot: 101 Drawings,Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,99,2014,2014,,2018/10/24,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
25435603,Alphonse Mucha: Drawings and Watercolors,Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,100,2014,2014,,2018/10/24,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
25399913,Antoine Watteau: 83 Drawings,Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,88,2014,2014,,2018/10/24,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
28095798,Auguste Rodin: 101 Drawings,Narim Bender,"Bender, Narim",,,,0,3.67,Osmora Inc.,Kindle Edition,106,2015,,,2018/10/24,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
23594994,Durer (123 Drawings and Prints),Narim Bender,"Bender, Narim",,,,0,3.67,Osmora Inc.,Kindle Edition,126,2014,2014,,2018/10/24,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
21065994,Peter Paul Rubens: 81 Drawings,Narim Bender,"Bender, Narim",,,,0,4.67,BookRix GmbH & Co. KG,Kindle Edition,89,2013,2013,,2018/10/24,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
23793630,Cézanne (80 Drawings),Narim Bender,"Bender, Narim",,,,0,5.00,Osmora Inc.,Kindle Edition,81,2014,2014,,2018/10/24,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
24014167,Michelangelo Buonarroti: 85 Drawings,Narim Bender,"Bender, Narim",,,,0,4.11,BookRix GmbH & Co. KG,Kindle Edition,95,2013,2013,,2018/10/24,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
20630363,Van Gogh: 99 Watercolors,Narim Bender,"Bender, Narim",,,,0,3.95,BookRix GmbH & Co. KG,Kindle Edition,104,2013,2013,,2018/10/24,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
28282408,Ramon Casas: 80 Drawings,Narim Bender,"Bender, Narim",,,,0,0.0,Osmora Inc.,Kindle Edition,80,2015,,,2018/10/24,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
30362470,Pintor: Ramón Casas,Cristina Mendoza,"Mendoza, Cristina",,,9788498444698,0,4.00,FUND_ MAPFRE,Paperback,115,2015,2015,,2018/10/24,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
36654035,Les Manuscrits enluminés,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,0.0,Parkstone International,Kindle Edition,376,2011,,,2018/10/24,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
24215060,Rubens,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,0.0,Parkstone International,Kindle Edition,89,2011,2011,,2018/10/24,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
34964460,Le Nu,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,0.0,Parkstone International,Kindle Edition,257,2011,,,2018/10/24,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
19038602,Johannes Vermeer (French Edition),Jp. A. Calosse,"Calosse, Jp. A.",Marion Olivier,,9781781607077,0,0.0,Parkstone International,Kindle Edition,100,2011,2011,,2018/10/24,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
19397482,Picasso (German Edition),Jp. A. Calosse,"Calosse, Jp. A.",,,9781781607237,0,0.0,Parkstone International,Kindle Edition,108,2011,2011,,2018/10/24,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
